Farm_ID,Date,NDVI,crop label,ground truth month
T001,01-08-2022,0.09703614,Tomato,01-10-2022
T001,03-01-2023,0.18468468,Tomato,01-10-2022
T001,03-04-2022,0.80750406,Tomato,01-10-2022
T001,03-05-2022,0.12681477,Tomato,01-10-2022
T001,04-03-2023,0.22919151,Tomato,01-10-2022
T001,04-12-2022,0.21987315,Tomato,01-10-2022
T001,05-09-2022,0.38968325,Tomato,01-10-2022
T001,07-02-2023,0.2643026,Tomato,01-10-2022
T001,08-01-2023,0.23091881,Tomato,01-10-2022
T001,08-04-2022,0.80004245,Tomato,01-10-2022
T001,09-11-2022,0.33043477,Tomato,01-10-2022
T001,12-02-2023,0.2783924,Tomato,01-10-2022
T001,12-06-2022,0.18093412,Tomato,01-10-2022
T001,13-01-2023,0.19515885,Tomato,01-10-2022
T001,13-04-2022,0.9122687,Tomato,01-10-2022
T001,14-03-2023,0.19783686,Tomato,01-10-2022
T001,16-08-2022,-0.049084857,Tomato,01-10-2022
T001,17-02-2023,0.26873037,Tomato,01-10-2022
T001,18-01-2023,0.22663379,Tomato,01-10-2022
T001,18-04-2022,0.028354386,Tomato,01-10-2022
T001,19-03-2023,0.19368975,Tomato,01-10-2022
T001,19-11-2022,0.36331835,Tomato,01-10-2022
T001,22-02-2023,0.27845883,Tomato,01-10-2022
T001,23-01-2023,0.21748401,Tomato,01-10-2022
T001,23-05-2022,0.20421608,Tomato,01-10-2022
T001,24-03-2023,0.16540085,Tomato,01-10-2022
T001,24-12-2022,0.19674134,Tomato,01-10-2022
T001,25-09-2022,0.42129797,Tomato,01-10-2022
T001,25-10-2022,0.26956522,Tomato,01-10-2022
T001,27-02-2023,0.27061972,Tomato,01-10-2022
T001,28-01-2023,0.25658536,Tomato,01-10-2022
T001,28-04-2022,0.14930694,Tomato,01-10-2022
T001,28-05-2022,0.16242318,Tomato,01-10-2022
T001,29-03-2023,0.17039107,Tomato,01-10-2022
T001,29-11-2022,0.10357995,Tomato,01-10-2022
T001,29-12-2022,0.18344688,Tomato,01-10-2022
T002,01-08-2022,0.064730294,Tomato,01-10-2022
T002,03-01-2023,0.20176083,Tomato,01-10-2022
T002,03-04-2022,0.36207455,Tomato,01-10-2022
T002,03-05-2022,0.36104262,Tomato,01-10-2022
T002,04-03-2023,0.2,Tomato,01-10-2022
T002,04-12-2022,0.18131162,Tomato,01-10-2022
T002,05-09-2022,0.3587609,Tomato,01-10-2022
T002,07-02-2023,0.07470079,Tomato,01-10-2022
T002,08-01-2023,0.26566124,Tomato,01-10-2022
T002,08-04-2022,0.32341528,Tomato,01-10-2022
T002,09-11-2022,0.24833998,Tomato,01-10-2022
T002,12-02-2023,0.055093143,Tomato,01-10-2022
T002,12-06-2022,0.6724701,Tomato,01-10-2022
T002,13-01-2023,0.2305923,Tomato,01-10-2022
T002,13-04-2022,0.32088095,Tomato,01-10-2022
T002,14-03-2023,0.49529514,Tomato,01-10-2022
T002,16-08-2022,-0.055127077,Tomato,01-10-2022
T002,17-02-2023,0.05113418,Tomato,01-10-2022
T002,18-01-2023,0.21660748,Tomato,01-10-2022
T002,18-04-2022,0.047779415,Tomato,01-10-2022
T002,19-03-2023,0.4979757,Tomato,01-10-2022
T002,19-11-2022,0.27764705,Tomato,01-10-2022
T002,22-02-2023,0.071058474,Tomato,01-10-2022
T002,23-01-2023,0.09342327,Tomato,01-10-2022
T002,23-05-2022,0.5339915,Tomato,01-10-2022
T002,24-03-2023,0.48845613,Tomato,01-10-2022
T002,24-12-2022,0.24887691,Tomato,01-10-2022
T002,25-09-2022,0.54565036,Tomato,01-10-2022
T002,25-10-2022,0.45653394,Tomato,01-10-2022
T002,27-02-2023,0.10981211,Tomato,01-10-2022
T002,28-01-2023,0.1924722,Tomato,01-10-2022
T002,28-04-2022,0.32090816,Tomato,01-10-2022
T002,28-05-2022,0.6065389,Tomato,01-10-2022
T002,29-03-2023,0.6194707,Tomato,01-10-2022
T002,29-11-2022,0.011904762,Tomato,01-10-2022
T002,29-12-2022,0.21158488,Tomato,01-10-2022
T003,01-08-2022,0.06434316,Tomato,01-09-2022
T003,03-01-2023,0.42257217,Tomato,01-09-2022
T003,03-04-2022,0.29676357,Tomato,01-09-2022
T003,03-05-2022,0.23526616,Tomato,01-09-2022
T003,04-03-2022,0.28879073,Tomato,01-09-2022
T003,04-12-2022,0.24017467,Tomato,01-09-2022
T003,05-09-2022,0.4343666,Tomato,01-09-2022
T003,07-02-2023,0.6504065,Tomato,01-09-2022
T003,08-01-2023,0.43665436,Tomato,01-09-2022
T003,08-04-2022,0.26293778,Tomato,01-09-2022
T003,09-03-2022,0.27175367,Tomato,01-09-2022
T003,09-11-2022,0.6179775,Tomato,01-09-2022
T003,12-02-2023,0.78821075,Tomato,01-09-2022
T003,12-06-2022,0.5119438,Tomato,01-09-2022
T003,13-01-2023,0.47548535,Tomato,01-09-2022
T003,13-04-2022,0.215311,Tomato,01-09-2022
T003,14-03-2022,0.27311945,Tomato,01-09-2022
T003,16-08-2022,-0.045382164,Tomato,01-09-2022
T003,17-02-2023,0.74327755,Tomato,01-09-2022
T003,18-01-2023,0.5826197,Tomato,01-09-2022
T003,18-04-2022,0.21121822,Tomato,01-09-2022
T003,19-03-2022,0.24278182,Tomato,01-09-2022
T003,19-11-2022,0.32824427,Tomato,01-09-2022
T003,22-02-2023,0.6768,Tomato,01-09-2022
